name,address,borough,latitude,longitude,phone,website,clinic_type,has_sti_testing,has_hiv_testing,has_prep,has_pep,hours,walk_in,data_source,notes
Community Healthcare Network,Community Healthcare Network - Helen B Atkinson Health Center,Manhattan,40.655136,-73.946214,(212)-426-0088,http://www.chnnyc.org/our-locations/helen-b-atkinson-health-center,HIV Testing,true,true,false,false,Monday: 9:00AM - 5:00PM; Tuesday: 9:00AM - 5:00PM; Wednesday: 9:00AM - 7:00PM; Thursday: 9:00AM - 5:00PM; Friday: 9:00AM - 5:00PM; Saturday: 9:00AM - 4:00PM,,NYC Open Data: hiv_testing,
HHC Harlem Hospital - Family Planning Clinic,HHC Harlem Hospital - Family Planning Clinic,Manhattan,40.814111,-73.939711,(212) 935-8275,,HIV Testing,true,true,false,false,Monday: 9:00 AM - 7:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,
HHC Renaissance Healthcare Network Diagnostic and Treatment Center,HHC Renaissance Healthcare Network Diagnostic and Treatment Center,Manhattan,,,(212) 932-6500,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Renaissance.shtml,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.
HIV Law Project,HIV Law Project,Manhattan,,,(212) 577-3001,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Hetrick-Martin Institute,Hetrick-Martin Institute,Manhattan,,,(212) 674-2400,http://www.hmi.org/,HIV Testing,true,true,false,false,Monday: 3:15-5PM; Tuesday: 3:15-5PM; Wednesday: 3:15-5PM; Thursday: 3:15-5PM; Friday: 3:15-5PM; Saturday: 11-4PM,,NYC Open Data: hiv_testing,
Institute for Community Living,Institute for Community Living,Manhattan,40.698306,-73.74576,(212) 385-3030,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
"Mobilization for Justice, Inc., formerly known as MFY Legal Services, Inc.","100 William Street, 6th Floor",Manhattan,40.708497,-74.007477,rkahn@mfjlegal.org,https://mobilizationforjustice.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_services,
NYC DOHMH,Renaissance Health Care Network Diagnostic and Treatment Center,Manhattan,,,(212) 932-6500,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Central Harlem STD Clinic,Manhattan,40.78249,-73.96554,N/A,,HIV Testing,true,true,false,false,Tuesday: 8:30 AM - 3:30 PM; Wednesday: 8:30 AM - 3:30 PM; Thursday: 8:30 AM - 3:30 PM; Friday: 8:30 AM - 3:30 PM; Saturday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Riverside STD Clinic,Manhattan,,,N/A,,HIV Testing,true,true,false,false,"Tuesday: 8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM; Wednesday: 8:30 AM - 3:00 PM; Thursday: 8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM; Friday: 8:30 AM - 3:00 PM; Saturday: 8:30 AM - 3:00 PM",,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Chelsea STD Clinic **CLOSED AS OF 3/23**,Manhattan,,,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Manhattanville Renaissance STD Clinic,Manhattan,,,N/A,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 3:30 PM; Tuesday: 8:30 AM - 3:30 PM; Wednesday: 8:30 AM - 3:30 PM; Thursday: 8:30 AM - 3:30 PM; Friday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Corona STD Clinic,Manhattan,,,N/A,,HIV Testing,true,true,false,false,Wednesday: 8:30 AM - 3:30 PM; Friday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
"National Development and Research Institutes, Inc.","National Development and Research Institutes, Inc.",Manhattan,,,(212) 845-4400,http://www.ndri.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
New York Presbyterian Hospital,NYP/Columbia University Medical Center - Harkness Pavillion,Manhattan,,,(212) 342-1687,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 4:00PM; Tuesday: 8:30 AM - 4:00PM; Wednesday: 8:30 AM - 4:00PM; Thursday: 8:30 AM - 4:00PM; Friday: 8:30 AM - 4:00PM,,NYC Open Data: hiv_testing,
Planned Parenthood Federation of America (Global Central Office),Planned Parenthood Federation of America,Manhattan,,,(212) 541-7800,http://www.plannedparenthood.org,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Planned Parenthood of Greater New York,26 Bleecker Street,Manhattan,40.725564,-73.993488,shaun.turnbull@ppgreaterny.org,https://www.plannedparenthood.org/planned-parenthood-greater-new-york,HIV Testing,false,true,false,false,,,NYC Open Data: hiv_services,
Planned Parenthood-New York City Chapter,Planned Parenthood Margaret Sanger Center (Manhattan),Manhattan,,,(212) 965-7000,http://www.plannedparenthood.org/health-center/new-york/new-york/10012/margaret-sanger-center-3325-91110,HIV Testing,true,true,false,false,Monday: 8:30 AM - 4:30 PM; Tuesday: 8:00 AM - 5:00 PM; Wednesday: 8:00 AM - 7:00 PM; Thursday: 8:00 AM - 7:00 PM; Friday: 8:00 AM - 7:00 PM; Saturday: 8:30 AM - 4:30 PM,,NYC Open Data: hiv_testing,
Puerto Rican Family Institute,Puerto Rican Family Institute,Manhattan,,,(212)924-6320,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
The Institute for Family Health,The Institute for Family Health,Manhattan,,,(212) 633-0800,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
The Institute for Family Health,16 East 16th Street,Manhattan,40.737122,-73.99218,"lcurry@institute.org, jmusella@institute.org, acurry@institute.org, mifrazier@institute.org",https://www.institute.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_services,
Urban Justice Center (SWOP),Urban Justice Center,Manhattan,40.702908,-74.01398,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
William F. Ryan Community Health Network,Ryan Women and Children's Center,Manhattan,,,212-316-8300,http://www.ryancenter.org/find.htm,HIV Testing,true,true,false,false,Monday: 8:30 am - 7:00 pm; Tuesday: 8:30 am - 4:30 pm; Wednesday: 8:30 am - 4:30 pm; Thursday: 8:30 am - 7:00 pm; Friday: 8:30 am - 4:30 pm; Saturday: 9:30 am- 1:00 pm,,NYC Open Data: hiv_testing,
William F. Ryan Community Health Network,Ryan/Adair Community Health Center,Manhattan,,,212-222-5221,http://www.ryancenter.org/find.htm,HIV Testing,true,true,false,false,Monday: 9:00am-5:00pm; Tuesday: 9:00am-5:00pm; Wednesday: 9:00am-5:00pm; Thursday: 9:00am-5:00pm; Friday: 9:00am-5:00pm,,NYC Open Data: hiv_testing,
William F. Ryan Community Health Network,Ryan-NENA Community Health Center,Manhattan,,,212-477-8500,http://www.ryancenter.org/find.htm,HIV Testing,true,true,false,false,Monday: 8:30 am - 7:00 pm; Tuesday: 8:30 am - 4:30 pm; Wednesday: 8:30 am - 4:30 pm; Thursday: 8:30 am - 7:00 pm; Friday: 8:30 am - 4:30 pm; Saturday: 9:30 am - 1:00 pm,,NYC Open Data: hiv_testing,
William F. Ryan Community Health Network,William F. Ryan Community Health Center,Manhattan,40.655136,-73.946214,212-749-1820,http://www.ryancenter.org/find.htm; http://std-clinics.healthgrove.com/l/4155/William-F-Ryan-Community-Health-Center,HIV Testing,true,true,false,false,Monday: 8:30 AM - 6:00 PM; Tuesday: 8:30 AM - 4:00 PM; Wednesday: 8:30 AM - 4:00 PM; Thursday: 8:30 AM - 6:00 PM; Friday: 8:30 AM - 4:00 PM; Saturday: 9:30 AM - 1:00 PM,,NYC Open Data: hiv_testing,
William F. Ryan Community Health Network,Ryan/Chelsea-Clinton Community Health Center,Manhattan,,,212-265-4500,http://www.ryancenter.org/find.htm,HIV Testing,true,true,false,false,Monday: 8:30 am - 7:00 pm; Tuesday: 8:30 am - 4:30 pm; Wednesday: 8:30 am - 4:30 pm; Thursday: 8:30 am - 7:00 pm; Friday: 8:30 am - 4:30 pm; Saturday: 9:30am-1:00pm,,NYC Open Data: hiv_testing,
Women's HIV Collaboration of NY,Women's HIV Collaboration of NY,Manhattan,,,(212) 367-1012,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Charles B Wang Community Health Center - Teens,Charles B Wang Community Health Center - Women's Health Clinic,Queens,40.77365,-73.96085,(718) 886-1212,http://www.cbwchc.org/wh.asp,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Queens Health Center,Queens,,,(718)-657-7088,http://www.chnnyc.org/our-locations/queens-health-center,HIV Testing,true,true,false,false,Monday: 10:00AM - 6:00PM; Tuesday: 9:00AM - 5:00PM; Wednesday: 9:00AM - 5:00PM; Thursday: 9:00AM - 5:00PM; Friday: 9:00AM - 5:00PM; Saturday: 8:30AM - 3:30PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Family Health Center,Queens,,,(718)-523-2123,http://www.chnnyc.org/our-locations/family-health-center,HIV Testing,true,true,false,false,Monday: 10:00 AM - 6:00 PM; Tuesday: 11:00 AM- 7:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM; Saturday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Long Island City Health Center,Queens,40.690274,-73.980217,(718)-482-7772,http://www.chnnyc.org/our-locations/long-island-city-health-center,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM; Saturday: 8:30 AM- 3:30 PM,,NYC Open Data: hiv_testing,
Corona Sexual Health Clinic,"34-33 Junction Boulevard, First Floor, Queens, NY 11372",Queens,40.754221,-73.871979,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
Healthy Latino Community,Healthy Latino Community,Queens,,,(347) 752-0852,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Jamaica Sexual Health Clinic,"90-37 Parsons Boulevard, First Floor, Queens, NY 11432",Queens,40.703964,-73.800209,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
LGBT Network,Q Center,Queens,40.74433,-73.95695,516.323.0011,http://lgbtnetwork.org/q-center,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
NYC DOHMH HIV/AIDS Prevention and Control,NYC DOHMH HIV/AIDS Prevention and Control,Queens,,,,http://www.nyc.gov/html/doh/html/living/std-hiv.shtml,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Jamaica STD Clinic,Queens,,,N/A,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 3:00 PM; Tuesday: 8:30 AM - 3:00 PM; Wednesday: 8:30 AM - 3:00 PM; Thursday: 8:30 AM - 3:00 PM; Friday: 8:30 AM - 3:00 PM,,NYC Open Data: hiv_testing,
North Shore LIJ,Adolescent and GYN Sexual Health Services - Long Island Jewish Medical Center,Queens,40.659406,-73.93371,516-465-3270,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Planned Parenthood-New York City Chapter,Planned Parenthood Diane L. Max Health Center (Queens),Queens,40.690274,-73.980217,212-965-7000,https://www.plannedparenthood.org/health-center/new-york/queens/11101/diane-l.-max-health-center-4184-91110,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Beacon Christian Community Health Center,Beacon Christian Community Health Center,Staten Island,40.655136,-73.946214,(718) 815-6560,http://beaconcchc.com/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Community Health Action of Staten Island (CHASI),Community Health Action of Staten Island- Main Office,Staten Island,40.527503,-74.214478,718-808-1300,http://chasiny.org,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Community Health Action of Staten Island (CHASI),Staten Island LGBT Center,Staten Island,40.64402,-74.102616,718-808-1360,http://chasiny.org,HIV Testing,true,true,false,false,Monday: 1:00 PM- 8:00 PM; Tuesday: 1:00 PM- 8:00 PM; Wednesday: 1:00 PM- 8:00 PM; Thursday: 1:00 PM- 8:00 PM; Friday: 1:00 PM- 8:00 PM,,NYC Open Data: hiv_testing,
Community Health Action of Staten Island (CHASI),Community Health Action of Staten Island- Community Food Pantry,Staten Island,40.527503,-74.214478,718-818-1840 / 718-818-1311,http://chasiny.org,HIV Testing,true,true,false,false,Monday: 9:00AM - 4:00PM; Tuesday: 9:00AM - 4:00PM; Wednesday: 9:00AM - 4:00PM; Thursday: 9:00AM - 4:00PM; Friday: 9:00AM - 4:00PM; Saturday: 9:00AM - 4:00PM,,NYC Open Data: hiv_testing,
Community Health Action of Staten Island (CHASI),Community Health Action of Staten Island- Hyatt Street,Staten Island,40.622138,-74.089612,718-808-1311,www.chasiny.org,HIV Testing,true,true,false,false,Monday: 9:00 AM - 4:00 PM; Tuesday: 19:00 AM - 4:00 PM; Wednesday: 9:00 AM - 4:00 PM; Thursday: 9:00 AM - 4:00 PM; Friday: 9:00 AM - 4:00 PM,,NYC Open Data: hiv_testing,
Community Health Action of Staten Island (CHASI),26 Bay Street,Staten Island,40.64139,-74.075957,"taryn.lyon@chasiny.org, felicia.caple@chasiny.org, denise.brown@chasiny.org",www.chasiny.org,HIV Testing,false,true,false,false,,,NYC Open Data: hiv_services,
Community Health Center of Richmond,Community Health Center of Richmond,Staten Island,40.77365,-73.96085,(718) 876-1732,chcrichmond.org,HIV Testing,true,true,false,false,Monday: 8:30am-8:30pm; Tuesday: 8:30am-10pm; Wednesday: 8:30am-8:30pm; Thursday: 8:30am-10pm; Friday: 8:30am-4:30pm; Saturday: 8:30am-12:30pm,,NYC Open Data: hiv_testing,
Community Health Center of Richmond,439 Port Richmond Avenue,Staten Island,40.631386,-74.13832,(718) 876-1732,chcrichmond.org,HIV Testing,true,true,false,false,Monday: 8am-5pm; Tuesday: 8am-5pm; Wednesday: 8am-5pm; Thursday: 8am-5pm; Friday: 8am-5pm,,NYC Open Data: hiv_testing,
Community Health Center of Richmond,235 Port Richmond Avenue,Staten Island,40.635621,-74.135021,"hthompson@chcrichmond.org, gharris@chcrichmond.org",www.chcrichmond.org,HIV Testing,false,true,false,false,,,NYC Open Data: hiv_services,
Planned Parenthood-New York City Chapter,Planned Parenthood Staten Island Center,Staten Island,,,(212) 965-7000,http://www.plannedparenthood.org/health-center/new-york/staten-island/10301/staten-island-center-3978-91110,HIV Testing,true,true,false,false,Monday: 9 AM - 6:30 PM; Wednesday: 9 AM - 6:30 PM; Thursday: 9 AM - 7:30 PM,,NYC Open Data: hiv_testing,
